# n avgORD stdORD avgDC stdDC avgSTRA stdSTRA
2 0.056 0.041 0.062 0.045 0.084 0.076
4 0.153 0.066 0.147 0.037 0.137 0.015
8 0.794 0.084 0.829 0.036 0.823 0.015
16 7.926 0.215 6.208 0.187 6.209 0.181
32 54.920 1.514 48.231 4.079 47.460 2.354
64 381.078 6.157 368.670 18.953 344.642 11.325
128 2213.302 526.124 2117.709 430.757 1805.940 442.559
256 14002.356 139.790 14238.286 137.573 11208.757 170.184
512 111506.228 865.619 116950.501 939.819 78736.531 618.145
1024 885557.825 11780.378 953101.088 25198.813 561453.277 19073.051
2048 7054041.625 61788.558 7522559.409 29514.493 3868042.515 40847.934
4096 59980919.680 12175146.910 66536480.170 13977476.143 31083965.278 7861321.048
